Subject,CreditValues 
Field trials officer,B
Chemical engineer,I
"Radiographer, diagnostic",t
"Psychotherapist, child",F
"Investment banker, operational",D
Contracting civil engineer,z
Interior and spatial designer,E
"Accountant, chartered public finance",V
"Engineer, water",w
Web designer,N
Glass blower/designer,x
Medical physicist,Q
Firefighter,Y
Secretary/administrator,U
Product/process development scientist,B
Planning and development surveyor,T
Electrical engineer,y
Town planner,P
Archivist,o
"Engineer, building services",S
Bookseller,L
"Education officer, museum",Z
"Accountant, chartered certified",X
Communications engineer,i
Medical physicist,l
Toxicologist,B
Academic librarian,C
Fisheries officer,S
Television camera operator,w
"Scientist, clinical (histocompatibility and immunogenetics)",P
"Engineer, land",x
Publishing copy,L
Photographer,r
"Nurse, learning disability",h
TEFL teacher,Y
Newspaper journalist,q
Further education lecturer,B
Advertising account executive,C
Control and instrumentation engineer,Q
Wellsite geologist,L
"Teacher, special educational needs",n
"Journalist, magazine",j
Video editor,R
"Nurse, learning disability",Q
"Physicist, medical",M
Data processing manager,s
Health visitor,d
"Radiographer, diagnostic",P
"Conservator, museum/gallery",g
Banker,j
"Designer, television/film set",m
Patent examiner,h
Tree surgeon,q
"Teacher, secondary school",d
Forensic psychologist,X
TEFL teacher,Y
Sports development officer,O
"Surveyor, commercial/residential",u
Educational psychologist,Z
"Psychologist, clinical",Q
Research scientist (life sciences),R
Actor,l
Private music teacher,S
Land,Q
Oncologist,X
Industrial buyer,c
Social worker,t
"Buyer, retail",B
Seismic interpreter,E
"Production assistant, radio",Y
Translator,B
Music tutor,z
"Development worker, community",Z
Television/film/video producer,B
Video editor,t
International aid/development worker,q
Sport and exercise psychologist,m
Landscape architect,K
Theme park manager,t
Optometrist,I
Illustrator,a
"Teacher, primary school",Z
Therapeutic radiographer,C
Financial trader,S
Medical illustrator,c
Systems developer,q
Hospital doctor,s
"Editor, film/video",O
Civil Service administrator,D
Television/film/video producer,z
Graphic designer,R
"Psychologist, educational",C
"Doctor, general practice",u
Advertising account executive,A
Office manager,v
Horticultural consultant,t
"Scientist, product/process development",H
"Research officer, political party",w
"Investment banker, corporate",y
Educational psychologist,i
Secretary/administrator,A
"Administrator, local government",h
"Engineer, chemical",J
Youth worker,z
Health and safety inspector,s
Patent attorney,o
Corporate investment banker,x
Medical physicist,Z
Race relations officer,M
Commercial art gallery manager,q
"Investment banker, operational",o
"Civil engineer, contracting",b
"Surveyor, building",u
"Lecturer, further education",J
Social researcher,q
Higher education lecturer,i
Electronics engineer,Q
Dancer,y
"Engineer, water",d
"Production assistant, radio",g
Operational investment banker,N
Emergency planning/management officer,f
Air cabin crew,i
IT consultant,L
Photographer,L
Advertising copywriter,v
"Horticulturist, commercial",k
Lawyer,i
Insurance broker,c
Public affairs consultant,A
Manufacturing systems engineer,A
Financial risk analyst,a
Psychiatrist,e
"Scientist, clinical (histocompatibility and immunogenetics)",p
Human resources officer,b
Dance movement psychotherapist,z
Manufacturing systems engineer,L
Hydrologist,b
Minerals surveyor,b
Quarry manager,o
Materials engineer,B
Public house manager,X
Tree surgeon,i
"Engineer, production",l
"Engineer, automotive",K
Early years teacher,V
Records manager,l
Further education lecturer,a
"Scientist, marine",i
Fashion designer,Z
"Psychologist, prison and probation services",y
Financial risk analyst,S
Wellsite geologist,h
Insurance risk surveyor,y
Exhibition designer,j
Logistics and distribution manager,W
Rural practice surveyor,j
Futures trader,N
Research scientist (maths),w
"Engineer, drilling",U
Early years teacher,x
Marketing executive,f
Manufacturing systems engineer,X
"Engineer, site",m
Hospital doctor,a
"Embryologist, clinical",U
"Designer, interior/spatial",Y
Public affairs consultant,h
Solicitor,p
"Engineer, broadcasting (operations)",m
Dancer,J
"Designer, exhibition/display",i
Patent attorney,S
Civil Service fast streamer,r
"Designer, interior/spatial",B
Further education lecturer,r
Physiological scientist,Z
Information systems manager,H
Haematologist,o
Forensic scientist,h
Sub,i
Secretary/administrator,o
"Producer, radio",M
"Engineer, water",I
"Psychologist, counselling",f
Ergonomist,U
Video editor,G
Catering manager,R
Tax inspector,C
"Scientist, research (medical)",w
Early years teacher,k
Adult nurse,K
IT technical support officer,U
Television camera operator,L
Metallurgist,j
Osteopath,p
"Lecturer, higher education",F
Lawyer,u
Legal executive,i
Energy manager,g
Water quality scientist,b
Housing manager/officer,r
Sub,b
Adult nurse,i
Ophthalmologist,N
Heritage manager,y
Orthoptist,J
Radio broadcast assistant,E
"Nurse, adult",F
"Production assistant, television",b
"Clinical scientist, histocompatibility and immunogenetics",t
"Pilot, airline",o
Archivist,C
Forensic scientist,o
Arts development officer,H
Equities trader,B
"Designer, interior/spatial",M
"Copywriter, advertising",S
Tourism officer,n
Research scientist (medical),r
"Designer, fashion/clothing",b
Clinical research associate,O
"Teacher, early years/pre",j
Recruitment consultant,J
"Psychologist, prison and probation services",L
Police officer,i
Risk analyst,e
Orthoptist,R
Local government officer,p
Senior tax professional/tax inspector,K
Ranger/warden,u
Government social research officer,J
"Copywriter, advertising",i
Recycling officer,F
Records manager,R
Telecommunications researcher,o
Technical brewer,A
"Production designer, theatre/television/film",o
Physiotherapist,f
Educational psychologist,g
Heritage manager,U
Health service manager,U
General practice doctor,F
"Pilot, airline",f
Minerals surveyor,W
"Scientist, research (medical)",W
Animal technologist,M
Art therapist,A
Visual merchandiser,I
Advertising account executive,N
Forensic scientist,h
Interior and spatial designer,T
Magazine features editor,Z
Clothing/textile technologist,o
Aeronautical engineer,r
"Journalist, broadcasting",L
Early years teacher,P
"Scientist, product/process development",T
Ergonomist,A
Health visitor,c
Building control surveyor,j
"Producer, television/film/video",X
Speech and language therapist,i
Gaffer,q
Contracting civil engineer,V
Special educational needs teacher,X
Contracting civil engineer,s
Radio producer,Z
Records manager,q
Barrister's clerk,g
Osteopath,H
"Horticulturist, commercial",Z
Advertising account executive,e
"Engineer, aeronautical",q
Games developer,l
"Journalist, magazine",F
Call centre manager,w
Town planner,P
Purchasing manager,e
Forensic psychologist,T
"Secretary, company",i
Television floor manager,M
Television camera operator,g
"Programmer, applications",V
Education administrator,K
"Engineer, control and instrumentation",a
Textile designer,r
Prison officer,l
Race relations officer,q
"Engineer, aeronautical",t
Volunteer coordinator,z
"Pharmacist, community",H
Research scientist (physical sciences),T
"Designer, ceramics/pottery",p
"Psychotherapist, child",R
"Psychologist, occupational",T
"Administrator, charities/voluntary organisations",X
Sport and exercise psychologist,M
"Lecturer, further education",b
Physiotherapist,E
"Engineer, water",w
Database administrator,J
"Scientist, marine",H
"Engineer, communications",z
Land,L
Community pharmacist,z
"Copywriter, advertising",b
"Scientist, research (physical sciences)",K
"Lecturer, further education",k
Educational psychologist,F
Lawyer,x
Museum/gallery exhibitions officer,e
Translator,q
Sales promotion account executive,B
Communications engineer,I
Marine scientist,T
Materials engineer,L
Commercial horticulturist,L
IT sales professional,Y
Museum/gallery curator,r
Diplomatic Services operational officer,v
Physiological scientist,H
Web designer,I
Field trials officer,y
Dealer,c
Site engineer,M
Toxicologist,q
Contracting civil engineer,e
Marketing executive,z
Pension scheme manager,l
Financial manager,e
Ceramics designer,V
Purchasing manager,s
Housing manager/officer,J
Advertising account executive,Z
"Therapist, sports",m
Fitness centre manager,y
Health and safety inspector,m
Metallurgist,u
"Nurse, learning disability",L
Secondary school teacher,K
Recycling officer,j
Community pharmacist,j
Geochemist,Z
"Designer, jewellery",i
Chartered legal executive (England and Wales),g
Medical laboratory scientific officer,l
Special educational needs teacher,B
Dispensing optician,U
Intelligence analyst,S
"Horticulturist, commercial",y
Geophysicist/field seismologist,a
Dentist,z
Industrial/product designer,B
Tree surgeon,q
Technical brewer,Q
Estate agent,L
Cartographer,J
Community education officer,g
"Therapist, art",X
Human resources officer,n
Architect,H
Catering manager,y
"Administrator, charities/voluntary organisations",A
Early years teacher,X
"Education officer, community",O
Interior and spatial designer,t
"Therapist, sports",L
Health physicist,N
Manufacturing systems engineer,n
"Designer, exhibition/display",o
"Surveyor, commercial/residential",s
Geophysical data processor,j
Petroleum engineer,w
Investment analyst,n
Publishing copy,K
"Teacher, secondary school",d
Nutritional therapist,c
"Nurse, children's",N
Operational investment banker,Y
Television production assistant,Y
Mining engineer,x
Transport planner,L
Fashion designer,M
Podiatrist,s
Adult nurse,h
Charity fundraiser,u
Amenity horticulturist,g
Intelligence analyst,p
